Time,Open,High,Low,Last,Change,Volume,Open Int
8/26/2020 20:40,11953.75,11955.75,11951.5,11952.25,-2.25,417,N/A
8/26/2020 20:35,11964,11965.25,11952.5,11954.5,-10.5,720,N/A
8/26/2020 20:30,11971.75,11971.75,11959.5,11965,-6.75,526,N/A
8/26/2020 20:25,11966.75,11972,11965.25,11971.75,6,288,N/A
8/26/2020 20:20,11967.5,11967.75,11965.25,11965.75,-1.25,181,N/A
8/26/2020 20:15,11973,11974.75,11964.75,11967,-6,533,N/A
8/26/2020 20:10,11976,11979.5,11972.5,11973,-2.75,322,N/A
8/26/2020 20:05,11976,11977,11973,11975.75,0.5,375,N/A
8/26/2020 20:00,11969.75,11980.5,11969.75,11975.25,5.75,691,N/A
8/26/2020 19:55,11968.25,11973.25,11967.75,11969.5,1.25,303,N/A
8/26/2020 19:50,11965.25,11971.75,11963.75,11968.25,3,387,N/A
8/26/2020 19:45,11963.25,11966.25,11960.5,11965.25,2,229,N/A
8/26/2020 19:40,11962,11967.25,11962,11963.25,1,240,N/A
8/26/2020 19:35,11962.25,11966.5,11962.25,11962.25,0,179,N/A
8/26/2020 19:30,11963,11966.25,11961.25,11962.25,-0.75,168,N/A
8/26/2020 19:25,11963.75,11965.5,11959,11963,-0.25,363,N/A
8/26/2020 19:20,11960.75,11968.25,11960.25,11963.25,2,383,N/A
8/26/2020 19:15,11961,11963,11959.75,11961.25,0.25,194,N/A
8/26/2020 19:10,11959.5,11963,11959.25,11961,1.5,283,N/A
8/26/2020 19:05,11960.5,11963.25,11955.75,11959.5,-1,596,N/A
8/26/2020 19:00,11967,11971,11959,11960.5,-7,571,N/A
8/26/2020 18:55,11969.25,11969.25,11964.75,11967.5,-2,281,N/A
8/26/2020 18:50,11959,11972.75,11958.5,11969.5,11,971,N/A
8/26/2020 18:45,11957.75,11959.5,11956.75,11958.5,1.25,117,N/A
8/26/2020 18:40,11959,11961.5,11956.75,11957.25,-1.75,264,N/A
8/26/2020 18:35,11961,11961.5,11957.25,11959,-1.5,212,N/A
8/26/2020 18:30,11961.75,11962.75,11959.25,11960.5,-1,196,N/A
8/26/2020 18:25,11964.5,11964.75,11959.75,11961.5,-3,135,N/A
8/26/2020 18:20,11960.5,11965.25,11959.75,11964.5,4.25,253,N/A
8/26/2020 18:15,11965.25,11965.5,11958.5,11960.25,-5.75,319,N/A
8/26/2020 18:10,11968,11968,11964.75,11966,-2,167,N/A
8/26/2020 18:05,11968.75,11970.25,11966.5,11968,-0.25,206,N/A
8/26/2020 18:00,11964.75,11969.25,11964.25,11968.25,3.5,180,N/A
8/26/2020 17:55,11965.25,11965.75,11961,11964.75,-1.75,284,N/A
8/26/2020 17:50,11965.75,11968.5,11964,11966.5,0.25,191,N/A
8/26/2020 17:45,11970.75,11970.75,11965.25,11966.25,-5,152,N/A
8/26/2020 17:40,11970.5,11973.25,11969.75,11971.25,0.25,132,N/A
8/26/2020 17:35,11968.25,11974.75,11966.5,11971,2.75,352,N/A
8/26/2020 17:30,11969,11970.25,11964.25,11968.25,-0.75,323,N/A
8/26/2020 17:25,11969.75,11972.25,11968.75,11969,0.5,117,N/A
8/26/2020 17:20,11972,11975,11968.25,11968.5,-4,172,N/A
8/26/2020 17:15,11968.5,11975.75,11967,11972.5,3.75,317,N/A
8/26/2020 17:10,11972.25,11972.5,11965.25,11968.75,-3.25,365,N/A
8/26/2020 17:05,11974.25,11976.5,11970.5,11972,-2,312,N/A
8/26/2020 17:00,11984.5,11984.5,11973,11974,-11,716,N/A
8/26/2020 15:55,11985,11987.75,11983,11985,-0.5,377,N/A
8/26/2020 15:50,11992,11992.25,11984.25,11985.5,-6.5,284,N/A
8/26/2020 15:45,11990.5,11995,11989,11992,2.5,319,N/A
8/26/2020 15:40,11998.25,12000,11988,11989.5,-8.75,755,N/A
8/26/2020 15:35,11999.75,12000,11994.75,11998.25,-0.75,660,N/A
8/26/2020 15:30,11985.5,12001.5,11982.5,11999,9,2089,N/A
8/26/2020 15:10,11978.75,11993.25,11975,11990,11.25,3390,N/A
8/26/2020 15:05,11966.25,11981.5,11962.25,11978.75,12.5,2922,N/A
8/26/2020 15:00,11964.75,11969.25,11956.75,11966.25,1.5,4308,N/A
8/26/2020 14:55,11963.25,11974.5,11962,11964.75,1.75,11755,N/A
8/26/2020 14:50,11959.75,11970,11953.75,11963,3.25,8914,N/A
8/26/2020 14:45,11943.5,11960.5,11942.25,11959.75,16.25,4958,N/A
8/26/2020 14:40,11941,11949,11936.25,11943.5,2.25,5089,N/A
8/26/2020 14:35,11938,11953.5,11936.75,11941.25,3,5260,N/A
8/26/2020 14:30,11951,11955,11931.75,11938.25,-12.5,6401,N/A
8/26/2020 14:25,11944.75,11952,11939.75,11950.75,6,4735,N/A
8/26/2020 14:20,11925.75,11946,11918,11944.75,19.5,7372,N/A
8/26/2020 14:15,11934.5,11938.5,11918.25,11925.25,-9.75,6216,N/A
8/26/2020 14:10,11920.5,11935,11916.5,11935,14.75,5883,N/A
8/26/2020 14:05,11887.5,11922.25,11887,11920.25,33,7391,N/A
8/26/2020 14:00,11885.75,11897.5,11872.5,11887.25,1.75,8561,N/A
8/26/2020 13:55,11899.75,11901.75,11868,11885.5,-14.25,11066,N/A
8/26/2020 13:50,11915.25,11919,11897.5,11899.75,-15.25,7523,N/A
8/26/2020 13:45,11892.75,11915.75,11891.5,11915,22.25,7961,N/A
8/26/2020 13:40,11921.75,11930.5,11891,11892.75,-28.5,8792,N/A
8/26/2020 13:35,11937.25,11939,11913.25,11921.25,-15.5,7898,N/A
8/26/2020 13:30,11964.75,11967.5,11934.5,11936.75,-28.25,6928,N/A
8/26/2020 13:25,11962.75,11965.25,11955.5,11965,2,4744,N/A
8/26/2020 13:20,11954.25,11966.25,11953.5,11963,8.5,5053,N/A
8/26/2020 13:15,11952.75,11958.75,11950.5,11954.5,2.25,3497,N/A
8/26/2020 13:10,11955.75,11957.5,11946.5,11952.25,-3.75,4098,N/A
8/26/2020 13:05,11957,11958.25,11948.25,11956,-1,4321,N/A
8/26/2020 13:00,11946.75,11960.25,11941.5,11957,10.25,5793,N/A
8/26/2020 12:55,11937.5,11948,11935,11946.75,9.25,3207,N/A
8/26/2020 12:50,11940.5,11944.25,11932.5,11937.5,-2.75,3347,N/A
8/26/2020 12:45,11931,11941.75,11929,11940.25,9.5,3452,N/A
8/26/2020 12:40,11938.75,11940.75,11928.5,11930.75,-8,3590,N/A
8/26/2020 12:35,11931.25,11942.5,11929.25,11938.75,7.5,3902,N/A
8/26/2020 12:30,11923.5,11932.75,11922.75,11931.25,8,3903,N/A
8/26/2020 12:25,11933.75,11934.5,11918.25,11923.25,-10.75,3624,N/A
8/26/2020 12:20,11928,11937.75,11918,11934,6.25,5062,N/A
8/26/2020 12:15,11914,11928.5,11910.75,11927.75,13.5,3040,N/A
