,day,prev_close,next_open,1min,3min,5min,15min,30min,60min,ovnt_change
1,12/20/2019,8671.0,8706.5,"Time        12/20/2019 08:30
Time.1      12/20/2019 08:30
Open                  8706.5
High                 8710.25
Low                  8700.25
Close                   8702
Change                  -4.5
Volume                  7821
Open Int                 NaN
Name: 12/20/2019 08:30, dtype: object","Time        12/20/2019 08:30
Time.1                   NaN
Open                  8706.5
High                 8712.25
Low                  8700.25
Close                8702.75
Change                 -3.75
Volume                 14070
Open Int                 NaN
Name: 12/20/2019 08:30, dtype: object","Time        12/20/2019 08:30
Time.1                   NaN
Open                  8706.5
High                 8712.25
Low                  8700.25
Close                8707.75
Change                  1.25
Volume                 18495
Open Int                 NaN
Name: 12/20/2019 08:30, dtype: object","Time        12/20/2019 08:30
Time.1                   NaN
Open                  8706.5
High                 8712.75
Low                   8689.5
Close                   8692
Change                 -14.5
Volume                 35945
Open Int                 NaN
Name: 12/20/2019 08:30, dtype: object","Time        12/20/2019 08:30
Time.1                   NaN
Open                  8706.5
High                 8712.75
Low                  8686.25
Close                   8687
Change                 -19.5
Volume                 52629
Open Int                 NaN
Name: 12/20/2019 08:30, dtype: object","Time        12/20/2019 08:00
Time.1                   NaN
Open                    8694
High                 8724.75
Low                  8686.25
Close                   8687
Change                    -7
Volume                 69913
Open Int                 NaN
Name: 12/20/2019 08:00, dtype: object",0.40941067927574676
2,12/23/2019,8704.0,8733.0,"Time        12/23/2019 08:30
Time.1      12/23/2019 08:30
Open                    8733
High                  8733.5
Low                     8728
Close                8729.75
Change                    -3
Volume                  3978
Open Int                 NaN
Name: 12/23/2019 08:30, dtype: object","Time        12/23/2019 08:30
Time.1                   NaN
Open                    8733
High                  8733.5
Low                  8722.75
Close                 8728.5
Change                  -4.5
Volume                  8436
Open Int                 NaN
Name: 12/23/2019 08:30, dtype: object","Time        12/23/2019 08:30
Time.1                   NaN
Open                    8733
High                    8735
Low                  8722.75
Close                   8732
Change                    -1
Volume                 11671
Open Int                 NaN
Name: 12/23/2019 08:30, dtype: object","Time        12/23/2019 08:30
Time.1                   NaN
Open                    8733
High                 8735.25
Low                  8722.75
Close                 8727.5
Change                  -5.5
Volume                 22828
Open Int                 NaN
Name: 12/23/2019 08:30, dtype: object","Time        12/23/2019 08:30
Time.1                   NaN
Open                    8733
High                 8735.25
Low                  8722.75
Close                8726.25
Change                 -6.75
Volume                 30797
Open Int                 NaN
Name: 12/23/2019 08:30, dtype: object","Time        12/23/2019 08:00
Time.1                   NaN
Open                 8737.25
High                 8738.25
Low                  8722.75
Close                8726.25
Change                   -11
Volume                 38313
Open Int                 NaN
Name: 12/23/2019 08:00, dtype: object",0.33318014705882354
3,12/26/2019,8721.75,8740.25,"Time        12/26/2019 08:30
Time.1      12/26/2019 08:30
Open                 8740.25
High                 8745.75
Low                     8739
Close                8744.25
Change                  4.25
Volume                  1767
Open Int                 NaN
Name: 12/26/2019 08:30, dtype: object","Time        12/26/2019 08:30
Time.1                   NaN
Open                 8740.25
High                 8745.75
Low                     8739
Close                8742.75
Change                   2.5
Volume                  3757
Open Int                 NaN
Name: 12/26/2019 08:30, dtype: object","Time        12/26/2019 08:30
Time.1                   NaN
Open                 8740.25
High                 8745.75
Low                     8739
Close                8744.75
Change                   4.5
Volume                  5025
Open Int                 NaN
Name: 12/26/2019 08:30, dtype: object","Time        12/26/2019 08:30
Time.1                   NaN
Open                 8740.25
High                    8756
Low                     8739
Close                 8753.5
Change                 13.25
Volume                 13610
Open Int                 NaN
Name: 12/26/2019 08:30, dtype: object","Time        12/26/2019 08:30
Time.1                   NaN
Open                 8740.25
High                    8761
Low                     8739
Close                8756.75
Change                  16.5
Volume                 21294
Open Int                 NaN
Name: 12/26/2019 08:30, dtype: object","Time        12/26/2019 08:00
Time.1                   NaN
Open                 8743.25
High                    8761
Low                     8739
Close                8756.75
Change                  13.5
Volume                 24163
Open Int                 NaN
Name: 12/26/2019 08:00, dtype: object",0.21211339467423393
4,12/27/2019,8801.25,8832.0,"Time        12/27/2019 08:30
Time.1      12/27/2019 08:30
Open                    8832
High                 8832.75
Low                   8821.5
Close                   8827
Change                    -5
Volume                  4826
Open Int                 NaN
Name: 12/27/2019 08:30, dtype: object","Time        12/27/2019 08:30
Time.1                   NaN
Open                    8832
High                 8832.75
Low                   8821.5
Close                   8827
Change                    -5
Volume                  9221
Open Int                 NaN
Name: 12/27/2019 08:30, dtype: object","Time        12/27/2019 08:30
Time.1                   NaN
Open                    8832
High                 8832.75
Low                   8821.5
Close                 8830.5
Change                  -1.5
Volume                 13035
Open Int                 NaN
Name: 12/27/2019 08:30, dtype: object","Time        12/27/2019 08:30
Time.1                   NaN
Open                    8832
High                 8832.75
Low                   8813.5
Close                   8817
Change                   -15
Volume                 30156
Open Int                 NaN
Name: 12/27/2019 08:30, dtype: object","Time        12/27/2019 08:30
Time.1                   NaN
Open                    8832
High                 8832.75
Low                   8780.5
Close                 8781.5
Change                 -50.5
Volume                 56093
Open Int                 NaN
Name: 12/27/2019 08:30, dtype: object","Time        12/27/2019 08:00
Time.1                   NaN
Open                 8833.75
High                    8837
Low                   8780.5
Close                 8781.5
Change                -52.25
Volume                 61687
Open Int                 NaN
Name: 12/27/2019 08:00, dtype: object",0.34938219002982535
5,12/30/2019,8792.5,8787.0,"Time        12/30/2019 08:30
Time.1      12/30/2019 08:30
Open                    8787
High                 8789.25
Low                     8778
Close                8781.75
Change                    -5
Volume                  3770
Open Int                 NaN
Name: 12/30/2019 08:30, dtype: object","Time        12/30/2019 08:30
Time.1                   NaN
Open                    8787
High                    8793
Low                     8778
Close                 8781.5
Change                  -5.5
Volume                  9231
Open Int                 NaN
Name: 12/30/2019 08:30, dtype: object","Time        12/30/2019 08:30
Time.1                   NaN
Open                    8787
High                    8793
Low                  8766.25
Close                8766.75
Change                -20.25
Volume                 16233
Open Int                 NaN
Name: 12/30/2019 08:30, dtype: object","Time        12/30/2019 08:30
Time.1                   NaN
Open                    8787
High                    8793
Low                  8725.25
Close                   8726
Change                   -61
Volume                 43670
Open Int                 NaN
Name: 12/30/2019 08:30, dtype: object","Time        12/30/2019 08:30
Time.1                   NaN
Open                    8787
High                    8793
Low                  8703.75
Close                 8714.5
Change                 -72.5
Volume                 76942
Open Int                 NaN
Name: 12/30/2019 08:30, dtype: object","Time        12/30/2019 08:00
Time.1                   NaN
Open                 8791.25
High                 8794.25
Low                  8703.75
Close                 8714.5
Change                -76.75
Volume                 82204
Open Int                 NaN
Name: 12/30/2019 08:00, dtype: object",-0.06255331248222917
6,12/31/2019,8731.5,8709.0,"Time        12/31/2019 08:30
Time.1      12/31/2019 08:30
Open                    8709
High                 8709.25
Low                  8697.25
Close                8697.75
Change                -11.25
Volume                  4513
Open Int                 NaN
Name: 12/31/2019 08:30, dtype: object","Time        12/31/2019 08:30
Time.1                   NaN
Open                    8709
High                 8724.25
Low                  8692.25
Close                 8723.5
Change                  14.5
Volume                 12741
Open Int                 NaN
Name: 12/31/2019 08:30, dtype: object","Time        12/31/2019 08:30
Time.1                   NaN
Open                    8709
High                 8726.25
Low                  8692.25
Close                8718.25
Change                  9.25
Volume                 18275
Open Int                 NaN
Name: 12/31/2019 08:30, dtype: object","Time        12/31/2019 08:30
Time.1                   NaN
Open                    8709
High                  8745.5
Low                  8692.25
Close                8732.25
Change                 23.25
Volume                 36034
Open Int                 NaN
Name: 12/31/2019 08:30, dtype: object","Time        12/31/2019 08:30
Time.1                   NaN
Open                    8709
High                 8746.75
Low                  8692.25
Close                 8736.5
Change                  27.5
Volume                 48509
Open Int                 NaN
Name: 12/31/2019 08:30, dtype: object","Time        12/31/2019 08:00
Time.1                   NaN
Open                    8710
High                 8746.75
Low                  8692.25
Close                 8736.5
Change                  26.5
Volume                 55268
Open Int                 NaN
Name: 12/31/2019 08:00, dtype: object",-0.25768768252877516
7,01/02/2020,8747.5,8821.25,"Time        01/02/2020 08:30
Time.1      01/02/2020 08:30
Open                 8821.25
High                    8828
Low                  8818.25
Close                   8826
Change                     5
Volume                  4182
Open Int                 NaN
Name: 01/02/2020 08:30, dtype: object","Time        01/02/2020 08:30
Time.1                   NaN
Open                 8821.25
High                    8828
Low                   8815.5
Close                 8821.5
Change                  0.25
Volume                  9267
Open Int                 NaN
Name: 01/02/2020 08:30, dtype: object","Time        01/02/2020 08:30
Time.1                   NaN
Open                 8821.25
High                  8838.5
Low                   8815.5
Close                8834.75
Change                  13.5
Volume                 16732
Open Int                 NaN
Name: 01/02/2020 08:30, dtype: object","Time        01/02/2020 08:30
Time.1                   NaN
Open                 8821.25
High                  8852.5
Low                   8815.5
Close                 8843.5
Change                 22.25
Volume                 39108
Open Int                 NaN
Name: 01/02/2020 08:30, dtype: object","Time        01/02/2020 08:30
Time.1                   NaN
Open                 8821.25
High                  8852.5
Low                   8815.5
Close                   8848
Change                 26.75
Volume                 62345
Open Int                 NaN
Name: 01/02/2020 08:30, dtype: object","Time        01/02/2020 08:00
Time.1                   NaN
Open                  8828.5
High                  8852.5
Low                  8815.25
Close                   8848
Change                  19.5
Volume                 71609
Open Int                 NaN
Name: 01/02/2020 08:00, dtype: object",0.8430980280080023
8,01/03/2020,8889.0,8772.0,"Time        01/03/2020 08:30
Time.1      01/03/2020 08:30
Open                    8772
High                  8793.5
Low                   8770.5
Close                 8791.5
Change                 19.25
Volume                  5818
Open Int                 NaN
Name: 01/03/2020 08:30, dtype: object","Time        01/03/2020 08:30
Time.1                   NaN
Open                    8772
High                 8814.25
Low                   8770.5
Close                   8811
Change                    39
Volume                 17427
Open Int                 NaN
Name: 01/03/2020 08:30, dtype: object","Time        01/03/2020 08:30
Time.1                   NaN
Open                    8772
High                  8824.5
Low                   8770.5
Close                8824.25
Change                 52.25
Volume                 24632
Open Int                 NaN
Name: 01/03/2020 08:30, dtype: object","Time        01/03/2020 08:30
Time.1                   NaN
Open                    8772
High                 8840.75
Low                   8770.5
Close                8837.75
Change                 65.75
Volume                 50715
Open Int                 NaN
Name: 01/03/2020 08:30, dtype: object","Time        01/03/2020 08:30
Time.1                   NaN
Open                    8772
High                 8840.75
Low                   8770.5
Close                 8825.5
Change                  53.5
Volume                 74379
Open Int                 NaN
Name: 01/03/2020 08:30, dtype: object","Time        01/03/2020 08:00
Time.1                   NaN
Open                    8791
High                 8840.75
Low                  8768.75
Close                 8825.5
Change                  34.5
Volume                 87539
Open Int                 NaN
Name: 01/03/2020 08:00, dtype: object",-1.3162335470806614
9,01/06/2020,8809.75,8739.0,"Time        01/06/2020 08:30
Time.1      01/06/2020 08:30
Open                    8739
High                  8741.5
Low                     8729
Close                8739.75
Change                     1
Volume                  6091
Open Int                 NaN
Name: 01/06/2020 08:30, dtype: object","Time        01/06/2020 08:30
Time.1                   NaN
Open                    8739
High                 8764.25
Low                     8729
Close                8760.75
Change                 21.75
Volume                 16200
Open Int                 NaN
Name: 01/06/2020 08:30, dtype: object","Time        01/06/2020 08:30
Time.1                   NaN
Open                    8739
High                    8766
Low                     8729
Close                   8764
Change                    25
Volume                 20958
Open Int                 NaN
Name: 01/06/2020 08:30, dtype: object","Time        01/06/2020 08:30
Time.1                   NaN
Open                    8739
High                 8775.75
Low                     8729
Close                 8774.5
Change                  35.5
Volume                 39390
Open Int                 NaN
Name: 01/06/2020 08:30, dtype: object","Time        01/06/2020 08:30
Time.1                   NaN
Open                    8739
High                  8800.5
Low                     8729
Close                 8797.5
Change                  58.5
Volume                 68343
Open Int                 NaN
Name: 01/06/2020 08:30, dtype: object","Time        01/06/2020 08:00
Time.1                   NaN
Open                 8751.25
High                  8800.5
Low                     8729
Close                 8797.5
Change                 46.25
Volume                 77668
Open Int                 NaN
Name: 01/06/2020 08:00, dtype: object",-0.8030874882942195
10,01/07/2020,8863.5,8867.0,"Time        01/07/2020 08:30
Time.1      01/07/2020 08:30
Open                    8867
High                  8874.5
Low                     8857
Close                   8862
Change                    -5
Volume                  7471
Open Int                 NaN
Name: 01/07/2020 08:30, dtype: object","Time        01/07/2020 08:30
Time.1                   NaN
Open                    8867
High                  8874.5
Low                     8857
Close                8859.25
Change                 -7.75
Volume                 15138
Open Int                 NaN
Name: 01/07/2020 08:30, dtype: object","Time        01/07/2020 08:30
Time.1                   NaN
Open                    8867
High                  8874.5
Low                     8857
Close                8866.75
Change                 -0.25
Volume                 20522
Open Int                 NaN
Name: 01/07/2020 08:30, dtype: object","Time        01/07/2020 08:30
Time.1                   NaN
Open                    8867
High                    8878
Low                  8835.25
Close                8837.25
Change                -29.75
Volume                 56514
Open Int                 NaN
Name: 01/07/2020 08:30, dtype: object","Time        01/07/2020 08:30
Time.1                   NaN
Open                    8867
High                    8878
Low                   8834.5
Close                8856.75
Change                -10.25
Volume                 85930
Open Int                 NaN
Name: 01/07/2020 08:30, dtype: object","Time        01/07/2020 08:00
Time.1                   NaN
Open                 8856.75
High                    8878
Low                   8834.5
Close                8856.75
Change                     0
Volume                 99192
Open Int                 NaN
Name: 01/07/2020 08:00, dtype: object",0.03948778699159474
